TDMCode,Institution,Site
SLCC_TL,SLCC,Main Campus
SLCC_Airp,SLCC,SLCC Airport Center
SLCC_HM,SLCC,SLCC Herriman Center
SLCC_JD,SLCC,SLCC Jordan Campus
SLCC_ML,SLCC,SLCC Larry H. Miller Campus
SLCC_LB,SLCC,SLCC Library Square Center (Previously Main Street Campus)
SLCC_Mead,SLCC,SLCC Meadowbrook Campus
SLCC_SC,SLCC,SLCC South City Center
SLCC_West,SLCC,SLCC West Point Center
UofU_Main,UU,Main Campus
UVU_main,UVU,Main Campus
WSU_Ogden,WSU,Main Campus
WSU_Davis,WSU,WSU Davis Center
WSU_West,WSU,WSU West Center
